iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
MAX: 1514061.000,449671.851,1618.281,1618.281,1618.281,251.218,251.218,251.218,82749395.781,35817300.000,0.017
MIN: 38863.000,212084.128,-2201.109,-2201.109,-2201.109,-417.097,-417.097,-417.097,0.441,7345.971,0.000
###
38863.000,212084.128,-584.741,73.917,-89.347,61.474,24.040,54.959,157.374,61769.328,0.000
42271.000,212084.128,-699.483,76.144,-87.226,59.183,1.646,42.798,123.895,22923.633,0.000
47471.000,212084.211,73.260,11.393,64.879,-38.497,34.553,6.570,4045.579,386609.969,0.002
47487.000,212158.113,-24.801,0.519,76.956,-38.345,-7.851,-2.352,5924.493,453301.375,0.004
47683.000,212096.991,-0.694,31.708,88.276,-20.295,8.156,-4.109,5298.377,312437.938,0.004
47701.000,212101.868,-26.550,-23.635,53.767,-10.068,-11.991,-16.217,6300.843,669028.938,0.003
50671.000,212092.956,10.538,60.651,10.416,-51.365,9.866,-16.145,10011.664,588810.750,0.002
50681.000,235241.573,-11.738,4.286,-0.467,1.542,-45.633,-26.593,129794.874,1100773.375,0.005
50722.000,212136.726,-45.600,53.552,-12.106,-10.630,-42.252,-19.994,13777.373,500699.438,0.004
50759.000,213125.570,11.222,-29.817,-0.448,40.518,30.561,44.958,41044.287,651071.125,0.005
50919.000,242775.480,54.732,6.971,17.845,-16.511,37.540,40.541,13080.682,680635.312,0.005
50959.000,212224.278,-20.394,5.928,-58.636,56.935,-65.371,34.291,11262.605,518477.531,0.004
50975.000,212299.949,-59.342,30.919,-44.024,24.176,-47.582,-1.446,7579.458,411720.375,0.004
51104.000,212099.712,-19.614,33.779,65.736,-64.977,-0.305,-14.402,7849.456,538291.062,0.003
51137.000,212084.653,69.508,34.086,13.163,-68.394,14.187,44.559,6394.864,474089.844,0.003
51149.000,212098.234,-22.343,32.821,-22.361,-8.305,-54.508,-6.369,22764.011,352529.906,0.003
51156.000,212257.036,34.833,-39.902,7.132,-16.388,23.723,40.155,17914.599,696036.938,0.005
51164.000,212148.953,-11.563,-43.647,23.680,12.329,4.843,0.774,12817.501,562945.625,0.005
51180.000,212227.152,-43.682,-94.589,-123.595,60.384,6.899,1.893,1009.237,168531.016,0.002
51191.000,212086.629,47.866,89.718,-2.118,-65.114,-14.919,-6.608,5281.481,368949.344,0.002
51378.000,221509.801,-0.035,36.991,23.288,-81.237,17.328,-3.938,24082.262,737060.062,0.004
51379.000,212084.888,24.629,48.269,5.682,-82.445,11.901,16.822,11528.219,588395.125,0.003
51390.000,230961.200,-1.984,31.576,3.637,-43.666,-5.491,-8.325,35834.179,710043.062,0.005
54111.000,212183.037,-67.085,-12.100,-0.154,2.447,-51.153,-13.237,11370.279,401033.594,0.005
54125.000,231492.622,7.261,-0.065,3.006,22.374,50.384,8.590,296880.158,962294.250,0.005
54308.000,228799.758,-3.960,-2.320,9.064,-7.704,-3.406,11.572,125530.624,1305473.875,0.005
54340.000,212471.448,-22.619,-24.474,-9.929,72.532,6.829,18.218,41859.773,558837.375,0.005
54377.000,214178.010,9.199,1.230,2.332,-2.389,63.108,48.231,253068.641,1093332.500,0.005
54408.000,212322.635,9.526,-18.689,-21.726,19.527,14.267,20.211,36911.512,841748.875,0.005
54551.000,216811.617,1.194,0.802,5.306,-34.526,10.606,-7.917,199262.500,1161007.000,0.005
54625.000,212171.141,50.639,41.295,25.390,-58.662,28.605,-11.675,6359.215,630278.188,0.003
54629.000,216790.395,-0.498,7.904,-7.423,13.365,-11.031,-22.709,117006.393,1079680.750,0.005
54775.000,212084.128,-164.170,64.175,63.264,134.525,-6.087,25.396,1228.252,147244.406,0.000
54804.000,212084.459,88.178,93.678,42.689,-49.932,3.117,7.959,1753.528,229420.359,0.003
54810.000,236958.276,21.642,30.808,-18.359,-35.255,49.280,2.403,17818.728,801203.750,0.005
57209.000,212345.777,-41.447,61.365,11.411,-9.507,-26.242,-44.724,11396.764,519146.469,0.003
57349.000,212086.587,58.783,56.106,30.533,-41.964,21.463,-36.670,5426.515,452928.344,0.004
57356.000,218352.745,29.264,-63.982,0.003,-3.763,10.471,48.024,9258.893,554686.875,0.003
57386.000,212488.262,-22.978,-18.339,24.887,-4.297,-3.079,2.518,19363.765,738189.125,0.005
57434.000,212224.651,212.032,-94.494,-31.598,-8.075,-5.898,7.020,420.444,150381.203,0.002
57436.000,216819.105,-27.035,70.569,22.179,-26.044,-19.663,-34.936,9416.600,520041.219,0.005
