iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
8185,212084.13,-167.82,135.25,153.15,114.85,-77.55,-65.10,2.46,4.78,-5.14
8204,212084.13,-132.25,118.50,159.94,114.68,-83.75,-73.14,2.45,4.65,-6.96
9476,212084.13,-156.50,128.11,163.84,117.93,-76.03,-60.93,2.53,4.59,-6.62
13175,212084.13,-143.23,35.96,194.46,119.28,-67.37,-43.33,2.57,4.92,-5.76
15329,212084.13,-121.11,33.86,222.47,118.32,-61.66,-65.90,2.23,4.78,-5.21
15536,212084.13,-142.35,80.86,200.76,106.97,-69.75,-61.53,2.27,4.57,-6.15
18767,212084.13,-134.40,54.49,194.99,120.60,-74.50,-57.36,2.40,4.68,-6.21
23501,212084.13,-138.41,84.76,163.72,120.76,-74.13,-66.09,2.38,4.57,-6.64
23671,212084.13,-164.95,117.61,91.28,114.88,-84.25,-88.87,2.55,4.70,-6.51
23676,212084.13,-179.45,123.95,110.44,106.59,-86.64,-80.81,2.57,4.60,-6.34
25397,212084.13,-158.65,145.28,85.98,107.06,-91.24,-69.50,2.73,4.68,-6.62
25622,212084.13,-183.11,116.75,109.66,111.01,-79.96,-78.92,2.57,4.62,-6.06
25639,212084.13,-187.98,130.33,99.04,110.39,-83.98,-74.52,2.49,4.53,-6.05
25890,212084.13,-170.32,146.76,33.10,99.71,-93.47,-53.83,2.82,4.92,-5.75
25905,212084.14,-194.67,173.71,31.54,89.67,-107.67,-46.21,2.56,4.56,-5.27
27328,212084.13,-193.20,165.69,57.82,103.02,-92.73,-56.55,2.40,4.42,-5.74
27337,212084.13,-170.90,161.29,63.86,104.87,-99.84,-57.53,2.54,4.47,-6.29
27594,212084.13,-178.69,159.73,87.18,113.55,-87.83,-67.32,2.49,4.52,-6.22
27606,212084.13,-171.63,121.96,74.73,123.78,-84.04,-37.96,2.68,4.95,-5.15
29061,212084.13,-178.67,169.52,49.85,96.00,-106.99,-40.17,2.60,4.62,-6.12
29581,212084.14,-194.88,168.10,37.39,93.02,-98.34,-51.65,2.52,4.51,-5.78
31183,212084.13,-155.80,39.03,192.76,123.43,-55.42,-36.57,2.47,4.97,-5.02
31374,212084.13,-133.05,32.19,223.67,105.60,-53.57,-65.51,2.21,4.77,-5.08
31597,212084.13,-151.11,101.33,105.57,124.94,-67.87,-75.14,2.62,4.80,-5.13
31623,212084.13,-171.27,153.12,44.12,99.40,-97.49,-53.05,2.67,4.74,-6.02
31965,212084.13,-194.93,177.48,38.54,91.51,-107.43,-48.56,2.63,4.50,-6.10
32392,212084.13,-164.69,164.34,64.61,96.11,-109.12,-50.83,2.67,4.69,-6.52
32397,212084.13,-158.34,136.73,98.51,107.87,-97.38,-77.38,2.67,4.61,-5.60
34175,212084.13,-183.99,130.20,75.04,117.53,-65.75,-48.10,2.48,4.84,-5.13
34448,212084.13,-139.58,120.15,70.83,112.98,-89.19,-67.69,2.99,4.97,-6.11
34984,212084.13,-191.46,112.57,106.93,114.24,-75.93,-77.70,2.50,4.65,-5.43
35087,212084.13,-182.28,157.12,98.85,115.56,-82.29,-74.80,2.60,4.64,-5.85
35122,212084.13,-177.91,162.62,97.38,110.06,-88.64,-65.20,2.59,4.60,-5.87
35284,212084.13,-166.05,113.69,146.58,109.25,-75.29,-66.72,2.45,4.68,-6.17
35318,212084.13,-194.88,131.37,95.56,111.88,-81.24,-70.60,2.47,4.56,-5.94
35323,212084.13,-153.44,142.21,74.85,93.07,-103.74,-62.52,2.73,4.88,-6.19
37198,212084.13,-170.51,83.93,189.90,113.59,-75.24,-48.46,2.32,4.62,-6.62
37234,212084.13,-168.53,42.37,199.50,107.40,-66.54,-49.57,2.34,4.83,-5.67
37679,212084.13,-190.55,131.74,84.01,115.58,-78.40,-72.19,2.48,4.60,-5.47
37890,212084.13,-121.26,87.15,153.22,108.38,-51.50,-60.22,2.60,4.96,-6.34
38153,212084.13,-164.26,159.60,71.35,100.91,-106.16,-62.38,2.54,4.59,-6.67
38169,212084.13,-175.67,120.35,79.64,115.72,-90.02,-60.44,2.56,4.76,-5.43
38173,212084.13,-185.78,158.94,43.39,110.54,-86.55,-42.98,2.53,4.74,-6.04
38255,212084.13,-153.21,121.14,103.61,115.26,-93.77,-82.38,2.58,4.71,-6.42
38284,212084.13,-167.95,133.38,86.78,118.37,-86.24,-77.34,2.56,4.65,-6.21
38290,212084.13,-158.89,147.95,62.16,98.93,-109.87,-54.88,2.69,4.79,-6.73
38295,212084.13,-157.48,155.52,63.18,93.77,-107.70,-50.63,2.72,4.74,-6.72
38308,212084.13,-188.20,147.78,93.10,112.20,-85.10,-71.86,2.52,4.56,-6.00
38700,212084.13,-128.91,131.70,183.58,106.41,-77.30,-55.28,2.62,4.71,-6.05
40914,212084.13,-146.55,69.19,169.18,106.53,-29.91,-42.23,2.47,4.97,-6.08
41582,212084.13,-172.31,117.27,142.29,115.71,-72.11,-65.38,2.55,4.67,-6.18
41697,212084.13,-184.05,155.85,91.66,115.25,-82.60,-68.29,2.49,4.51,-5.31
41704,212084.13,-167.70,129.15,135.79,115.25,-77.40,-64.55,2.50,4.63,-6.81
41705,212084.16,-133.38,106.59,94.38,108.03,-96.09,-77.74,2.75,4.92,-6.55
41731,212084.13,-177.55,141.58,95.93,108.80,-77.86,-72.63,2.58,4.62,-6.06
41785,212084.13,-165.14,124.84,127.72,112.37,-83.34,-64.25,2.55,4.71,-6.51
41792,212084.13,-174.10,136.87,124.49,110.71,-86.22,-68.52,2.55,4.72,-6.57
41922,212084.13,-150.85,136.21,173.88,105.36,-80.41,-62.85,2.63,4.79,-6.62
